first_name,last_name,state,salary,tenure,credit_score,age,loan_amount,interest_rate,checking_savings,existing_debt,DTI,Approvals
Kerrin,Thompstone,WI,31330.62,19,726,85,116286.6,3.8,9297.29,8083.4,0.26,Approved
Valida,Goffe,MO,34173.05,23,581,41,365584.56,3.6,3333.93,12537.18,0.37,Denied
Rollins,Fellon,NY,55615.74,22,795,72,221657.4,2.7,39.46,55147.37,0.99,Denied
Grenville,McArte,WV,36675.24,20,770,78,216.2,2.6,8518.11,9871.6,0.27,Approved
Micah,Yurkin,TX,36377.32,19,360,56,67730.67,3.4,5067.22,67733.55,1.86,Denied
Nester,Janauschek,VA,44029.23,28,629,52,159204.33,3.8,-771.14,28568.65,0.65,Denied
Zonda,Mossbee,GA,50331.45,11,737,74,420109.03,3.4,6565.92,69153.25,1.37,Denied
Inez,Syne,MA,49490.37,21,445,57,260384.13,3.1,5002.16,3005.57,0.06,Approved
Anatol,Wormleighton,NY,35789.72,19,352,64,397311.16,3.2,775.7,52902.25,1.48,Denied
Trixie,Sill,FL,34607.13,18,356,28,471791.6,3.9,3807.69,41014.17,1.19,Denied
Gregorio,Bennet,ID,58727.23,5,776,32,100111.58,3.9,1130.13,3293.22,0.06,Approved
Tanney,McClements,GA,26595.22,4,470,41,54023.5,2.9,1171.09,45254.46,1.7,Denied
Mikael,Seabright,TX,28960.66,27,703,63,493880.8,2.9,2679.1,24722.06,0.85,Denied
Allene,Van den Velden,CO,54181.53,3,419,55,27172.93,3.7,1421.1,24053.07,0.44,Denied
Baxy,Redmille,MN,50640.31,27,391,39,456890.49,2.7,-883.5,62139.89,1.23,Denied
Svend,Pethick,TN,55537.52,30,763,61,278656.13,4.0,6777.21,23126.62,0.42,Denied
Hyman,Moakson,MI,58280.62,25,470,47,324670.5,3.5,7747.69,16714.11,0.29,Approved
Fae,Baigrie,IN,36377.72,29,727,37,403234.09,3.8,5600.5,18547.97,0.51,Denied
Jaquenetta,Sustin,NE,55502.09,18,738,35,139058.33,3.8,-341.14,15201.1,0.27,Approved
Thornton,Belton,IL,40615.27,29,451,64,3575.39,3.7,8781.65,56037.61,1.38,Denied
Danni,Yurkin,FL,43412.35,18,729,66,351910.97,3.7,4488.88,51999.29,1.2,Denied
Ogdan,Wardel,WI,53891.98,3,631,77,53019.43,3.7,6684.73,68223.15,1.27,Denied
Justis,Hischke,FL,38602.3,13,850,69,192148.04,2.6,7170.67,54607.47,1.41,Denied
Luisa,Davidofski,GA,39902.86,17,586,64,365662.74,2.8,3703.52,68323.12,1.71,Denied
Ginger,Drew-Clifton,TX,26958.46,9,760,75,7767.76,3.8,9216.97,18518.69,0.69,Denied
Scarface,Escalero,MA,33602.68,23,806,84,281388.61,2.7,6587.25,64218.46,1.91,Denied
Brewster,Whitfeld,NY,45354.05,6,604,27,408962.3,3.4,3049.05,10781.68,0.24,Approved
Filberto,Boome,GA,57817.58,8,409,45,155256.94,2.8,5439.89,70642.01,1.22,Denied
Haskell,Stockney,TX,35041.53,21,818,33,252726.28,3.8,5763.66,37993.93,1.08,Denied
Helyn,Cashmore,OH,35979.77,28,734,69,314597.15,3.4,7496.59,71436.05,1.99,Denied
Tally,Mobley,KY,50396.09,22,658,18,65326.46,2.6,5946.69,22508.12,0.45,Denied
Shannon,Bayle,MS,50912.22,10,672,70,396094.78,2.9,1752.23,52302.7,1.03,Denied
Montgomery,Hayworth,FL,40114.86,4,587,32,469363.06,2.7,7066.14,27300.36,0.68,Denied
Christin,Binny,NC,56998.01,15,688,54,251482.35,3.8,4237.59,59938.61,1.05,Denied
Pavia,Tallman,NV,54066.56,16,431,80,448564.76,3.4,4539.65,44683.13,0.83,Denied
Harry,Serrels,TX,57706.6,23,790,71,136884.51,3.0,6309.65,51480.37,0.89,Denied
Alexis,Mongenot,AL,48124.48,12,476,73,251397.84,3.6,3104.11,9601.9,0.2,Approved
Preston,Springer,DC,30082.77,19,512,44,55408.24,3.8,6585.69,46334.51,1.54,Denied
Cordy,Coole,IL,29379.42,22,374,57,153564.32,3.1,4448.56,8736.26,0.3,Approved
Bryan,Leall,CO,57781.04,26,459,49,231736.37,3.2,24.1,4421.22,0.08,Approved
Idalia,Heady,AK,54730.27,29,471,26,345620.09,2.7,5590.95,25251.67,0.46,Denied
Dore,Heymes,MN,33870.79,27,425,37,8056.75,3.5,5834.03,20539.16,0.61,Denied
Kin,Huitson,MO,52375.38,27,536,23,104876.83,2.7,3415.7,5104.2,0.1,Approved
Haven,Balk,FL,48936.6,29,561,24,452995.84,2.6,9486.26,23084.18,0.47,Denied
Bryn,Staveley,DC,48572.21,10,513,29,447673.66,2.8,6878.56,70601.45,1.45,Denied
Christopher,Grigori,IL,57921.41,17,406,57,1295.5,3.9,1839.93,73589.73,1.27,Denied
Christel,Dymoke,TX,28114.05,2,771,33,439194.73,3.2,4343.49,23322.55,0.83,Denied
Ania,Bockett,PA,55181.63,3,633,68,420620.6,3.2,8017.48,4024.73,0.07,Approved
Belvia,Lermit,GA,52538.62,7,720,26,256042.6,2.6,5622.01,8226.77,0.16,Approved
Roze,Lochead,CA,27028.65,30,813,69,203804.19,3.0,2334.56,74693.31,2.76,Denied
Elie,Greenier,NY,59648.8,17,677,44,336200.85,3.1,8669.06,51496.28,0.86,Denied
Kathlin,Malsher,DC,27032.77,16,574,59,298344.67,3.8,6660.31,51101.63,1.89,Denied
Cristionna,Gercken,AR,51776.21,27,712,58,486366.77,2.8,-126.46,70433.88,1.36,Denied
Staffard,Meeking,AZ,44340.2,25,616,75,297197.48,3.0,5056.96,43226.11,0.97,Denied
Sharona,Houchen,MO,29827.5,13,630,82,206762.59,3.7,2107.41,54484.04,1.83,Denied
Cyndie,Ingreda,MA,28205.79,24,667,81,9409.39,3.8,3406.11,6345.86,0.22,Approved
